elapsed_ms,elapsed_s,timestamp,flag_ppg_warmup,flag_hr_artefact,heart_rate_bpm,heart_rate_clean_bpm,spo2_pct,o2_pct,ambient_temp_c,ambient_humidity_pct,pressure_a_pa,pressure_b_pa,pressure_c_ambient_pa,pressure_diff_ac_pa,pressure_diff_bc_pa,temp_bmp_a_c,temp_bmp_b_c,temp_bmp_c_c,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,ppg_ir,ppg_red
28800,28.8,2026-02-02 17:28:10.074000+00:00,0,0,70.0,70.0,98.0,18.601,28.247,70.927,100913.531,100921.078,100808.656,104.875,112.422,28.155,27.969,32.919,0.107,-0.187,0.961,24,6,-22,82577,80436
28888,28.888,2026-02-02 17:28:10.162000+00:00,0,0,70.0,70.0,98.0,18.601,28.236,70.927,101012.234,100924.797,100808.891,203.344,115.906,28.163,27.967,32.917,0.11,-0.183,0.961,9,-26,-14,84210,85565
28981,28.981,2026-02-02 17:28:10.255000+00:00,0,0,70.0,70.0,98.0,18.601,28.215,66.701,101054.172,100926.563,100809.328,244.844,117.234,28.153,27.967,32.918,0.127,-0.167,0.953,-120,33,-35,84210,85565
29083,29.083,2026-02-02 17:28:10.357000+00:00,0,0,70.0,70.0,98.0,18.569,28.215,63.069,101089.188,100929.281,100808.672,280.516,120.609,28.148,27.968,32.92,0.116,-0.192,0.961,22,-169,-191,84210,85565
29206,29.206,2026-02-02 17:28:10.480000+00:00,0,0,70.0,70.0,98.0,18.537,28.226,63.069,101114.031,100930.625,100809.031,305.0,121.594,28.149,27.967,32.923,0.113,-0.194,0.959,-37,12,16,80876,83723
29295,29.295,2026-02-02 17:28:10.569000+00:00,0,0,70.0,70.0,98.0,18.537,28.194,60.017,101127.203,100932.5,100808.766,318.438,123.734,28.148,27.964,32.92,0.094,-0.224,0.982,9,-143,13,80876,83723
29386,29.386,2026-02-02 17:28:10.660000+00:00,0,0,70.0,70.0,98.0,18.537,28.194,57.377,101140.484,100933.344,100808.922,331.563,124.422,28.145,27.972,32.92,0.149,-0.181,0.944,54,63,-30,78053,81518
29575,29.575,2026-02-02 17:28:10.849000+00:00,0,0,70.0,70.0,98.0,18.537,28.215,57.377,101150.594,100934.938,100809.328,341.266,125.609,28.146,27.97,32.927,0.111,-0.21,0.967,-80,-74,35,78053,81518
29610,29.61,2026-02-02 17:28:10.884000+00:00,0,0,70.0,70.0,98.0,18.537,28.215,55.043,101156.266,100935.453,100809.344,346.922,126.109,28.138,27.965,32.926,0.135,-0.174,0.936,-48,101,-19,78053,81518
29700,29.7,2026-02-02 17:28:10.974000+00:00,0,0,70.0,70.0,98.0,18.537,28.215,55.043,101107.391,100935.984,100809.453,297.938,126.531,28.149,27.966,32.929,0.101,-0.217,0.974,91,-48,138,81145,83400
29791,29.791,2026-02-02 17:28:11.065000+00:00,0,0,70.0,70.0,98.0,18.569,28.215,53.937,100979.594,100934.063,100809.219,170.375,124.844,28.142,27.967,32.926,0.135,-0.187,0.953,24,-55,-7,81145,83400
29880,29.88,2026-02-02 17:28:11.154000+00:00,0,0,70.0,70.0,98.0,18.569,28.215,55.966,100941.484,100932.359,100809.469,132.016,122.891,28.148,27.971,32.93,0.127,-0.198,0.947,-1,-28,-6,88653,86136
30069,30.069,2026-02-02 17:28:11.343000+00:00,0,0,70.0,70.0,98.0,18.569,28.226,55.966,100883.422,100930.328,100808.797,74.625,121.531,28.145,27.975,32.935,0.131,-0.171,0.948,89,-10,-49,88653,86136
30105,30.105,2026-02-02 17:28:11.379000+00:00,0,0,70.0,70.0,98.0,18.569,28.247,58.774,100822.375,100929.0,100808.844,13.531,120.156,28.147,27.97,32.933,0.127,-0.196,0.962,44,-76,97,88653,86136
30195,30.195,2026-02-02 17:28:11.469000+00:00,0,0,70.0,70.0,98.0,18.601,28.247,62.336,100773.578,100927.141,100809.172,-35.594,117.969,28.153,27.966,32.935,0.134,-0.183,0.94,-139,48,-185,89700,86225
30285,30.285,2026-02-02 17:28:11.559000+00:00,0,0,70.0,70.0,98.0,18.601,28.258,62.336,100729.547,100925.891,100809.563,-80.016,116.328,28.149,27.97,32.937,0.117,-0.178,0.97,106,-36,118,89700,86225
30421,30.421,2026-02-02 17:28:11.695000+00:00,0,0,70.0,70.0,98.0,18.632,28.258,65.465,100700.141,100923.453,100809.0,-108.859,114.453,28.155,27.969,32.934,0.134,-0.208,0.959,-54,10,-24,86019,83244
30514,30.514,2026-02-02 17:28:11.788000+00:00,0,0,70.0,70.0,98.0,18.632,28.279,65.465,100674.969,100921.609,100809.031,-134.063,112.578,28.156,27.976,32.938,0.122,-0.184,0.96,72,-39,5,86019,83244
30610,30.61,2026-02-02 17:28:11.884000+00:00,0,0,66.0,66.0,98.0,18.632,28.301,68.226,100642.672,100920.922,100808.984,-166.313,111.938,28.158,27.971,32.94,0.141,-0.186,0.949,-92,21,-2,91176,86934
30690,30.69,2026-02-02 17:28:11.964000+00:00,0,0,66.0,66.0,98.0,18.664,28.301,70.736,100601.875,100918.844,100809.141,-207.266,109.703,28.165,27.969,32.941,0.134,-0.193,0.951,52,-10,39,91176,86934
30780,30.78,2026-02-02 17:28:12.054000+00:00,0,0,66.0,66.0,98.0,18.664,28.301,70.736,100601.922,100916.688,100808.953,-207.031,107.734,28.156,27.975,32.944,0.122,-0.188,0.958,-89,4,-23,91176,86934
30916,30.916,2026-02-02 17:28:12.190000+00:00,0,0,66.0,66.0,98.0,18.664,28.311,72.697,100605.25,100915.25,100809.094,-203.844,106.156,28.164,27.973,32.946,0.127,-0.193,0.958,57,-8,38,90402,86413
31007,31.007,2026-02-02 17:28:12.281000+00:00,0,0,66.0,66.0,98.0,18.656,28.311,74.193,100615.406,100913.078,100809.25,-193.844,103.828,28.164,27.974,32.948,0.127,-0.188,0.944,-93,56,-50,90402,86413
31098,31.098,2026-02-02 17:28:12.372000+00:00,0,0,66.0,66.0,98.0,18.656,28.29,74.193,100608.203,100911.922,100808.906,-200.703,103.016,28.169,27.973,32.949,0.141,-0.195,0.957,64,10,10,89911,85757
31185,31.185,2026-02-02 17:28:12.459000+00:00,0,0,66.0,66.0,98.0,18.664,28.29,75.154,100666.891,100912.484,100809.125,-142.234,103.359,28.174,27.979,32.954,0.14,-0.171,0.947,-5,-14,22,89911,85757
31321,31.321,2026-02-02 17:28:12.595000+00:00,0,0,66.0,66.0,98.0,18.664,28.301,75.154,100722.641,100915.125,100808.984,-86.344,106.141,28.17,27.98,32.953,0.14,-0.184,0.948,-6,-24,40,89911,85757
31412,31.412,2026-02-02 17:28:12.686000+00:00,0,0,66.0,66.0,98.0,18.664,28.269,74.109,100770.953,100918.875,100809.078,-38.125,109.797,28.174,27.978,32.955,0.147,-0.168,0.945,113,-58,170,90518,86437
31501,31.501,2026-02-02 17:28:12.775000+00:00,0,0,66.0,66.0,98.0,18.632,28.269,70.416,100888.375,100922.094,100808.813,79.563,113.281,28.162,27.975,32.958,0.142,-0.216,0.956,-250,56,-57,90518,86437
31617,31.617,2026-02-02 17:28:12.891000+00:00,0,0,52.0,52.0,98.0,18.632,28.258,70.416,100981.391,100925.047,100808.609,172.781,116.438,28.162,27.98,32.957,0.145,-0.169,0.937,237,-420,227,90518,86437
31681,31.681,2026-02-02 17:28:12.955000+00:00,0,0,52.0,52.0,98.0,18.632,28.247,66.433,101039.813,100927.641,100809.219,230.594,118.422,28.162,27.972,32.959,0.162,-0.198,0.946,-497,616,-406,84469,83662
31771,31.771,2026-02-02 17:28:13.045000+00:00,0,0,52.0,52.0,98.0,18.632,28.247,62.863,101056.109,100930.156,100809.172,246.938,120.984,28.16,27.977,32.965,0.1,-0.202,0.952,281,-496,362,84469,83662
31905,31.905,2026-02-02 17:28:13.179000+00:00,0,0,52.0,52.0,98.0,18.569,28.215,62.863,101080.234,100931.875,100808.734,271.5,123.141,28.156,27.981,32.959,0.164,-0.166,0.951,-532,392,-525,79691,79208
31995,31.995,2026-02-02 17:28:13.269000+00:00,0,0,52.0,52.0,98.0,18.569,28.215,59.727,101102.406,100933.188,100809.25,293.156,123.938,28.159,27.975,32.966,0.125,-0.294,0.953,-172,-412,801,79691,79208
32126,32.126,2026-02-02 17:28:13.400000+00:00,0,0,52.0,52.0,98.0,18.537,28.226,59.727,101116.422,100934.078,100809.016,307.406,125.063,28.161,27.98,32.966,0.207,-0.196,0.895,-1169,-246,1143,79691,79208
32176,32.176,2026-02-02 17:28:13.450000+00:00,0,0,52.0,52.0,98.0,18.569,28.247,57.278,101141.375,100934.547,100809.469,331.906,125.078,28.159,27.976,32.968,0.121,-0.141,0.982,1088,-380,2813,34915,40913
32311,32.311,2026-02-02 17:28:13.585000+00:00,0,0,52.0,52.0,98.0,18.569,28.247,55.646,101159.156,100935.125,100809.453,349.703,125.672,28.159,27.976,32.97,0.047,-0.321,0.979,-395,-640,1667,34915,40913
32399,32.399,2026-02-02 17:28:13.673000+00:00,0,0,52.0,52.0,98.0,18.569,28.236,55.646,101184.516,100935.5,100809.344,375.172,126.156,28.156,27.979,32.972,0.127,-0.374,0.925,953,-716,3258,89938,86229
32490,32.49,2026-02-02 17:28:13.764000+00:00,0,0,52.0,52.0,98.0,18.569,28.215,54.204,101178.547,100936.344,100809.25,369.297,127.094,28.158,27.979,32.972,0.203,-0.284,0.806,2474,-984,3551,89938,86229
32579,32.579,2026-02-02 17:28:13.853000+00:00,0,0,52.0,52.0,98.0,18.569,28.215,52.807,101149.422,100936.406,100809.422,340.0,126.984,28.163,27.977,32.973,0.105,-0.242,0.897,3116,458,3000,89938,86229
32724,32.724,2026-02-02 17:28:13.998000+00:00,0,0,49.0,49.0,98.0,18.601,28.247,52.807,101121.188,100936.781,100809.328,311.859,127.453,28.163,27.979,32.978,0.082,-0.046,0.925,2715,541,1252,0,0
32805,32.805,2026-02-02 17:28:14.079000+00:00,0,0,49.0,49.0,98.0,18.601,28.247,51.991,101105.594,100936.859,100809.406,296.188,127.453,28.159,27.97,32.979,-0.029,0.158,0.989,1711,653,786,0,0
32903,32.903,2026-02-02 17:28:14.177000+00:00,0,0,49.0,49.0,98.0,18.601,28.226,51.991,101088.594,100936.984,100809.922,278.672,127.063,28.156,27.97,32.978,0.021,0.238,0.911,2004,553,-305,82472,80544
32985,32.985,2026-02-02 17:28:14.259000+00:00,0,0,49.0,49.0,98.0,18.601,28.236,51.678,101072.234,100936.359,100809.797,262.438,126.563,28.155,27.974,32.978,0.02,0.394,0.921,613,359,-578,82472,80544
33173,33.173,2026-02-02 17:28:14.447000+00:00,0,0,49.0,49.0,98.0,18.632,28.236,51.617,101071.563,100934.813,100809.828,261.734,124.984,28.159,27.973,32.979,0.085,0.386,0.935,-774,131,268,82472,80544
33210,33.21,2026-02-02 17:28:14.484000+00:00,0,0,49.0,49.0,98.0,18.664,28.247,51.617,101071.0,100931.359,100810.281,260.719,121.078,28.155,27.979,32.982,0.084,0.267,0.858,890,34,-54,0,0
33299,33.299,2026-02-02 17:28:14.573000+00:00,0,0,49.0,49.0,98.0,18.696,28.236,51.274,101069.906,100931.313,100810.438,259.469,120.875,28.155,27.982,32.983,0.024,0.579,0.658,2302,-521,-195,0,0
33390,33.39,2026-02-02 17:28:14.664000+00:00,0,0,49.0,49.0,98.0,18.728,28.236,50.961,101064.234,100930.297,100810.375,253.859,119.922,28.16,27.979,32.987,0.05,0.399,0.914,1032,-101,-450,0,0
33481,33.481,2026-02-02 17:28:14.755000+00:00,0,0,49.0,49.0,98.0,18.728,28.236,50.961,101064.688,100930.547,100810.156,254.531,120.391,28.161,27.977,32.984,0.006,0.408,0.756,-223,316,-1525,0,0
33597,33.597,2026-02-02 17:28:14.871000+00:00,0,0,49.0,49.0,98.0,18.74,28.236,50.641,101070.984,100930.078,100810.063,260.922,120.016,28.149,27.981,32.989,-0.043,0.642,0.875,1914,-88,-261,0,0
33717,33.717,2026-02-02 17:28:14.991000+00:00,0,0,49.0,49.0,98.0,18.76,28.236,50.641,101078.125,100928.875,100810.438,267.688,118.438,28.163,27.979,32.989,-0.054,0.462,0.824,909,710,-477,0,0
33809,33.809,2026-02-02 17:28:15.083000+00:00,0,0,49.0,49.0,98.0,18.792,28.247,50.351,101082.25,100927.188,100810.594,271.656,116.594,28.164,27.979,32.997,0.208,0.639,0.976,387,-346,387,0,0
33884,33.884,2026-02-02 17:28:15.158000+00:00,0,0,49.0,49.0,98.0,18.792,28.247,50.0,101083.234,100925.969,100810.391,272.844,115.578,28.163,27.982,32.994,0.156,0.51,0.838,1068,-637,-1474,0,0
34028,34.028,2026-02-02 17:28:15.302000+00:00,0,0,49.0,49.0,98.0,18.792,28.236,50.0,101082.797,100925.969,100809.938,272.859,116.031,28.16,27.99,33.003,0.169,0.52,0.704,1303,-3029,-1683,0,0
34109,34.109,2026-02-02 17:28:15.383000+00:00,0,0,49.0,49.0,98.0,18.811,28.226,49.679,101087.063,100928.0,100809.688,277.375,118.313,28.157,27.982,32.997,0.177,0.539,0.596,80,-2266,-3609,0,0
34208,34.208,2026-02-02 17:28:15.482000+00:00,0,0,49.0,49.0,98.0,18.855,28.226,49.0,101091.063,100929.625,100809.797,281.266,119.828,28.161,27.983,33.003,0.09,0.561,0.62,-235,-3504,-2493,0,0
34289,34.289,2026-02-02 17:28:15.563000+00:00,0,0,49.0,49.0,98.0,18.855,28.236,49.0,101095.922,100931.031,100810.484,285.438,120.547,28.168,27.988,33.006,-0.247,0.548,0.783,-837,-1489,-4385,0,0
34397,34.397,2026-02-02 17:28:15.671000+00:00,0,0,49.0,49.0,98.0,18.887,28.236,48.535,101102.781,100932.547,100810.719,292.063,121.828,28.162,27.985,33.014,-0.229,0.505,0.864,-1181,-1351,-3074,0,0
34514,34.514,2026-02-02 17:28:15.788000+00:00,0,0,49.0,49.0,98.0,18.907,28.236,48.535,101108.422,100933.469,100811.016,297.406,122.453,28.17,27.982,33.025,0.042,0.542,0.859,-327,-3367,-220,0,0
34604,34.604,2026-02-02 17:28:15.878000+00:00,0,0,49.0,49.0,98.0,18.919,28.226,47.963,101112.188,100934.109,100811.141,301.047,122.969,28.164,27.985,33.033,-0.179,0.548,0.918,-1121,1335,-1763,0,0
34708,34.708,2026-02-02 17:28:15.982000+00:00,0,0,49.0,49.0,98.0,18.951,28.226,47.413,101112.891,100934.469,100811.219,301.672,123.25,28.173,27.991,33.04,0.184,0.549,0.837,-963,398,-1264,0,0
34785,34.785,2026-02-02 17:28:16.059000+00:00,0,0,49.0,49.0,98.0,18.983,28.247,47.413,101116.125,100935.797,100811.297,304.828,124.5,28.175,27.988,33.042,-0.196,0.439,0.908,-256,-828,41,0,0
34919,34.919,2026-02-02 17:28:16.193000+00:00,0,0,49.0,49.0,98.0,18.983,28.247,46.887,101121.75,100935.531,100811.0,310.75,124.531,28.169,27.992,33.045,0.127,0.44,0.868,617,-905,769,0,0
35010,35.01,2026-02-02 17:28:16.284000+00:00,0,0,49.0,49.0,98.0,19.014,28.258,46.383,101127.156,100936.141,100810.734,316.422,125.406,28.169,27.99,33.048,-0.057,0.443,0.817,-371,726,-102,0,0
35105,35.105,2026-02-02 17:28:16.379000+00:00,0,0,49.0,49.0,98.0,19.014,28.226,46.383,101128.656,100935.859,100811.234,317.422,124.625,28.176,27.984,33.052,0.079,0.489,0.818,-115,52,-574,0,0
35246,35.246,2026-02-02 17:28:16.520000+00:00,0,0,49.0,49.0,98.0,19.014,28.226,46.132,101130.391,100935.656,100811.094,319.297,124.563,28.175,27.992,33.057,-0.079,0.428,0.87,-355,592,-1050,0,0
35324,35.324,2026-02-02 17:28:16.598000+00:00,0,0,49.0,49.0,98.0,19.046,28.258,46.132,101130.719,100935.281,100811.313,319.406,123.969,28.174,27.992,33.062,-0.115,0.446,0.893,-98,-12,-207,0,0
35415,35.415,2026-02-02 17:28:16.689000+00:00,0,0,49.0,49.0,98.0,19.078,28.258,45.773,101132.859,100935.375,100810.563,322.297,124.813,28.173,27.992,33.063,-0.132,0.408,0.861,181,-44,-1001,0,0
35504,35.504,2026-02-02 17:28:16.778000+00:00,0,0,49.0,49.0,98.0,19.078,28.258,45.414,101134.141,100935.938,100811.547,322.594,124.391,28.177,27.99,33.074,-0.086,0.447,0.854,227,-612,-439,0,0
35595,35.595,2026-02-02 17:28:16.869000+00:00,0,0,49.0,49.0,98.0,19.11,28.226,45.414,101137.453,100935.484,100810.922,326.531,124.563,28.179,27.99,33.068,-0.066,0.454,0.867,328,-458,-273,0,0
35743,35.743,2026-02-02 17:28:17.017000+00:00,0,0,49.0,49.0,98.0,19.11,28.258,45.086,101144.063,100935.219,100811.281,332.781,123.938,28.175,27.991,33.07,-0.004,0.482,0.843,35,-126,-517,0,0
35774,35.774,2026-02-02 17:28:17.048000+00:00,0,0,49.0,49.0,98.0,19.11,28.258,44.652,101147.594,100935.844,100811.047,336.547,124.797,28.178,27.988,33.08,-0.16,0.419,0.845,-58,-71,-293,0,0
35908,35.908,2026-02-02 17:28:17.182000+00:00,0,0,49.0,49.0,98.0,19.174,28.247,44.652,101151.156,100935.828,100811.234,339.922,124.594,28.175,27.996,33.071,-0.097,0.452,0.87,139,-475,69,0,0
